hadoop.common.configuration.version,version of this configuration file,0.23.0
yarn.resourcemanager.system-metrics-publisher.enabled,"The setting that controls whether yarn system metrics is published to the Timeline server (version one) or not, by RM. This configuration is now deprecated in favor of yarn.system-metrics-publisher.enabled.",false
yarn.system-metrics-publisher.enabled,The setting that controls whether yarn system metrics is published on the Timeline service or not by RM And NM.,false
yarn.rm.system-metrics-publisher.emit-container-events,The setting that controls whether yarn container events are published to the timeline service or not by RM. This configuration setting is for ATS V2.,false
yarn.resourcemanager.system-metrics-publisher.dispatcher.pool-size,Number of worker threads that send the yarn system metrics data.,10
yarn.resourcemanager.max-log-aggregation-diagnostics-in-memory,Number of diagnostics/failure messages can be saved in RM for log aggregation. It also defines the number of diagnostics/failure messages can be shown in log aggregation web ui.,10
yarn.resourcemanager.delegation-token-renewer.thread-count, RM DelegationTokenRenewer thread count ,50
yarn.resourcemanager.delegation.key.update-interval, RM secret key update interval in ms ,86400000
yarn.resourcemanager.delegation.token.max-lifetime, RM delegation token maximum lifetime in ms ,604800000
yarn.resourcemanager.delegation.token.renew-interval, RM delegation token update interval in ms ,86400000
yarn.resourcemanager.history-writer.multi-threaded-dispatcher.pool-size, Thread pool size for RMApplicationHistoryWriter. ,10
yarn.resourcemanager.metrics.runtime.buckets, Comma-separated list of values (in minutes) for schedule queue related metrics. ,"60,300,1440"
yarn.resourcemanager.nm-tokens.master-key-rolling-interval-secs, Interval for the roll over for the master key used to generate NodeManager tokens.  It is expected to be set to a value much larger than yarn.nm.liveness-monitor.expiry-interval-ms. ,86400
yarn.resourcemanager.reservation-system.enable, Flag to enable the ResourceManager reservation system. ,false
yarn.resourcemanager.reservation-system.class," The Java class to use as the ResourceManager reservation system. By default, is set to org.apache.hadoop.yarn.server.resourcemanager.reservation.CapacityReservationSystem when using CapacityScheduler and is set to org.apache.hadoop.yarn.server.resourcemanager.reservation.FairReservationSystem when using FairScheduler. ",
yarn.resourcemanager.reservation-system.plan.follower," The plan follower policy class name to use for the ResourceManager reservation system. By default, is set to org.apache.hadoop.yarn.server.resourcemanager.reservation.CapacitySchedulerPlanFollower is used when using CapacityScheduler, and is set to org.apache.hadoop.yarn.server.resourcemanager.reservation.FairSchedulerPlanFollower when using FairScheduler. ",
yarn.resourcemanager.reservation-system.planfollower.time-step, Step size of the reservation system in ms ,1000
yarn.resourcemanager.rm.container-allocation.expiry-interval-ms, The expiry interval for a container ,600000
yarn.nodemanager.hostname,The hostname of the NM.,0.0.0.0
yarn.nodemanager.address,The address of the container manager in the NM.,${yarn.nodemanager.hostname}:0
yarn.nodemanager.bind-host,"   The actual address the server will bind to. If this optional address is   set, the RPC and webapp servers will bind to this address and the port specified in   yarn.nodemanager.address and yarn.nodemanager.webapp.address, respectively. This is   most useful for making NM listen to all interfaces by setting to 0.0.0.0. ",
yarn.nodemanager.admin-env,Environment variables that should be forwarded from the NodeManager's environment to the container's.,MALLOC_ARENA_MAX=$MALLOC_ARENA_MAX
yarn.nodemanager.env-whitelist,Environment variables that containers may override rather than use NodeManager's default.,"JAVA_HOME,HADOOP_COMMON_HOME,HADOOP_HDFS_HOME,HADOOP_CONF_DIR,CLASSPATH_PREPEND_DISTCACHE,HADOOP_YARN_HOME"
yarn.nodemanager.container-executor.class,who will execute(launch) the containers.,org.apache.hadoop.yarn.server.nodemanager.DefaultContainerExecutor
yarn.nodemanager.container-state-transition-listener.classes,Comma separated List of container state transition listeners.,
yarn.nodemanager.container-manager.thread-count,Number of threads container manager uses.,20
yarn.nodemanager.collector-service.thread-count,Number of threads collector service uses.,5
yarn.nodemanager.delete.thread-count,Number of threads used in cleanup.,4
yarn.nodemanager.opportunistic-containers-max-queue-length,Max number of OPPORTUNISTIC containers to queue at the   nodemanager.,0
yarn.nodemanager.delete.debug-delay-sec,"   Number of seconds after an application finishes before the nodemanager's    DeletionService will delete the application's localized file directory   and log directory.   To diagnose YARN application problems, set this property's value large   enough (for example, to 600 = 10 minutes) to permit examination of these   directories. After changing the property's value, you must restart the    nodemanager in order for it to have an effect.   The roots of YARN applications' work directories is configurable with   the yarn.nodemanager.local-dirs property (see below), and the roots   of the YARN applications' log directories is configurable with the   yarn.nodemanager.log-dirs property (see also below). ",0
yarn.nodemanager.keytab,Keytab for NM.,/etc/krb5.keytab
yarn.nodemanager.local-dirs,"List of directories to store localized files in. An    application's localized file directory will be found in:   ${yarn.nodemanager.local-dirs}/usercache/${user}/appcache/application_${appid}.   Individual containers' work directories, called container_${contid}, will   be subdirectories of this.   ",${hadoop.tmp.dir}/nm-local-dir
yarn.nodemanager.local-cache.max-files-per-directory,"It limits the maximum number of files which will be localized   in a single local directory. If the limit is reached then sub-directories   will be created and new files will be localized in them. If it is set to   a value less than or equal to 36 [which are sub-directories (0-9 and then   a-z)] then NodeManager will fail to start. For example; [for public   cache] if this is configured with a value of 40 ( 4 files +   36 sub-directories) and the local-dir is ""/tmp/local-dir1"" then it will   allow 4 files to be created directly inside ""/tmp/local-dir1/filecache"".   For files that are localized further it will create a sub-directory ""0""   inside ""/tmp/local-dir1/filecache"" and will localize files inside it   until it becomes full. If a file is removed from a sub-directory that   is marked full, then that sub-directory will be used back again to   localize files.   ",8192
yarn.nodemanager.localizer.address,Address where the localizer IPC is.,${yarn.nodemanager.hostname}:8040
yarn.nodemanager.collector-service.address,Address where the collector service IPC is.,${yarn.nodemanager.hostname}:8048
yarn.nodemanager.localizer.cache.cleanup.interval-ms,Interval in between cache cleanups.,600000
yarn.nodemanager.localizer.cache.target-size-mb,"Target size of localizer cache in MB, per nodemanager. It is   a target retention size that only includes resources with PUBLIC and    PRIVATE visibility and excludes resources with APPLICATION visibility ",10240
yarn.nodemanager.localizer.client.thread-count,Number of threads to handle localization requests.,5
yarn.nodemanager.localizer.fetch.thread-count,Number of threads to use for localization fetching.,4
yarn.nodemanager.container-localizer.java.opts, ,-Xmx256m
yarn.nodemanager.log-dirs,"   Where to store container logs. An application's localized log directory   will be found in ${yarn.nodemanager.log-dirs}/application_${appid}.   Individual containers' log directories will be below this, in directories    named container_{$contid}. Each container directory will contain the files   stderr, stdin, and syslog generated by that container. ",${yarn.log.dir}/userlogs
yarn.nodemanager.default-container-executor.log-dirs.permissions,   The permissions settings used for the creation of container   directories when using DefaultContainerExecutor.  This follows   standard user/group/all permissions format. ,710
yarn.log-aggregation-enable,"Whether to enable log aggregation. Log aggregation collects   each container's logs and moves these logs onto a file-system, for e.g.   HDFS, after the application completes. Users can configure the   ""yarn.nodemanager.remote-app-log-dir"" and   ""yarn.nodemanager.remote-app-log-dir-suffix"" properties to determine   where these logs are moved to. Users can access the logs via the   Application Timeline Server. ",false
